order,genus,prm_05,prm_25,prm_50,prm_75,prm_95,avm_05,avm_25,avm_50,avm_75,avm_95,prm_pred,avm_pred,scientific_name,ventilation_method,median_depth,max_size_cm,habitat,reproductive_mode,ac,avm_mort,family,prm_mort
Lamniformes,Isurus,0.07653846153846153,0.091875,0.16633889450623526,0.2639628482972136,0.45,0.011512056737588651,0.242,0.361244966442953,0.5516212982351182,0.8013927392739274,0.19345794323873955,0.371823526376871,Isurus oxyrinchus,ram,375,445,pelagic,matrotrophic viviparity,13.922,0.25518438627854423,Lamnidae,0.2639628482972136
NA,NA,0.07653846153846153,0.091875,0.11501923076923076,0.2177977207977208,0.7139999999999999,0,0.23183314794215792,0.361244966442953,0.6510726465364122,0.8018627738794006,0.16807918343554656,0.4031263726549653,Carcharhinus falciformis,ram,250,350,pelagic,matrotrophic viviparity,10.089,0.394562497946848,Carcharhinidae,0.091875
Carcharhiniformes,Sphyrna,0.07653846153846153,0.091875,0.15884057971014495,0.45,0.7139999999999999,0,0.242,0.38488645458587656,0.6510726465364122,0.8107934313833903,0.27379853044400954,0.4206657186847548,Sphyrna zygaena,ram,100,400,pelagic,matrotrophic viviparity,10.906,0.6510726465364122,Sphyrnidae,NA
Lamniformes,Alopias,0.07653846153846153,0.11357333333333335,0.15884057971014495,0.2177977207977208,0.7139999999999999,0.011512056737588651,0.242,0.361244966442953,0.5516212982351182,0.8013927392739274,0.1874466378352171,0.37580511037527914,Alopias superciliosus,ram,361.5,484,pelagic,matrotrophic viviparity,11.023,0.2655628283970689,Alopiidae,0.15884057971014495
Carcharhiniformes,Carcharhinus,0.07653846153846153,0.11357333333333335,0.11501923076923076,0.2177977207977208,0.45,0,0.16275,0.33538379618251823,0.5516212982351182,0.8013927392739274,0.15999349166082424,0.3269132656760586,Carcharhinus longimanus,ram,541,350,pelagic,matrotrophic viviparity,9.5821,0.24673157611619148,Carcharhinidae,0.11357333333333335
NA,NA,0.07653846153846153,0.11501923076923076,0.17903225806451611,0.2177977207977208,0.45,0,0.23183314794215792,0.38488645458587656,0.6510726465364122,0.8107934313833903,0.1961615554794743,0.40939474747333143,Carcharhinus obscurus,ram,250,420,pelagic,matrotrophic viviparity,7.0963,0.5344920012547052,Carcharhinidae,0.17903225806451611
Lamniformes,Isurus,0.016193548387096773,0.091875,0.15884057971014495,0.2177977207977208,0.45,0,0.167,0.33538379618251823,0.5344920012547052,0.8013927392739274,0.17050140306773617,0.33033795358924445,Isurus paucus,ram,876,427,pelagic,matrotrophic viviparity,10.319,0.361244966442953,Lamnidae,NA
NA,NA,0.016193548387096773,0.08,0.08661956521739131,0.091875,0.7139999999999999,0,0.242,0.361244966442953,0.6510726465364122,0.8018627738794006,0.17068845815465322,0.40912489986389533,Carcharhinus plumbeus,ram,140,243,demersal,matrotrophic viviparity,15.327,0.33538379618251823,Carcharhinidae,0.08661956521739131
Lamniformes,Lamna,0.07653846153846153,0.11357333333333335,0.17383720930232557,0.17903225806451611,0.45,0,0.1111111111111111,0.33538379618251823,0.5516212982351182,0.8107934313833903,0.1823949458487749,0.3485154291289193,Lamna nasus,ram,904.5,365,pelagic,matrotrophic viviparity,6.2338,0.38488645458587656,Lamnidae,0.17383720930232557
NA,NA,0.07653846153846153,0.091875,0.2177977207977208,0.45,0.7139999999999999,0,0.21562486095661845,0.361244966442953,0.6510726465364122,0.8107934313833903,0.33066692626861793,0.40502033840050744,Carcharhinus galapagensis,ram,143,300,pelagic,matrotrophic viviparity,7.0985,0.09345794392523364,Carcharhinidae,NA
